品名,最低价,平均价,最高价,产地,单位
猪皮,3.0,3.5,4.0,未知,斤
猪肠头,18.0,18.0,18.0,未知,斤
猪肠,15.0,15.0,15.0,未知,斤
整牛,28.0,28.5,29.0,未知,斤
牛前腱,32.0,32.5,33.0,未知,斤
牛后腱,32.0,32.5,33.0,未知,斤
牛前腿,28.0,28.5,29.0,未知,斤
牛后腿,28.0,28.5,29.0,未知,斤
牛腰窝,31.0,31.5,32.0,未知,斤
肥牛,28.0,31.5,35.0,未知,斤
牛柳,33.0,33.5,34.0,未知,斤
精牛柳,35.0,35.0,35.0,未知,斤
牛腩,28.0,28.5,29.0,未知,斤
牛林,28.0,28.0,28.0,未知,斤
牛金钱腱,45.0,45.0,45.0,未知,斤
牛筋头巴脑,26.0,26.5,27.0,未知,斤
牛宝,18.0,19.0,20.0,未知,斤
牛鞭,48.0,50.5,53.0,未知,斤
牛油,5.0,5.0,5.0,未知,斤
牛心,6.0,6.5,7.0,未知,斤
牛舌,23.0,24.0,25.0,未知,斤
牛骨,4.0,4.25,4.5,未知,斤
牛排骨,28.0,28.5,29.0,未知,斤
牛蹄筋,25.0,25.5,26.0,未知,斤
牛板筋,28.0,29.0,30.0,未知,斤
牛心管,30.0,31.5,33.0,未知,斤
牛肚,16.0,17.0,18.0,未知,斤
牛腰子,10.0,11.0,12.0,未知,斤
牛尾,23.0,25.5,28.0,未知,斤
牛百叶,28.0,29.0,30.0,未知,斤
牛上脑,28.0,28.5,29.0,未知,斤
整羊,21.0,21.0,21.0,未知,斤
去骨羊前腿,28.0,28.5,29.0,未知,斤
去骨羊后腿,30.0,30.5,31.0,未知,斤
羊腰窝,27.0,27.5,28.0,未知,斤
羊肉片,25.0,30.0,35.0,未知,斤
羊腰子,11.0,11.0,11.0,未知,个
羊蝎子,11.0,11.5,12.0,未知,斤
羊蝎子,19.0,20.0,21.0,未知,斤
羊排骨,21.0,21.5,22.0,未知,斤
羊尾巴油,7.0,7.5,8.0,未知,斤
羊小腿,17.0,17.0,17.0,未知,斤
羊腱子肉,30.0,30.5,31.0,未知,斤
羊蹄,14.0,14.0,14.0,未知,斤
羊头,12.0,12.0,12.0,未知,斤
羊肝,7.0,7.0,7.0,未知,斤
羊心,17.0,17.5,18.0,未知,斤
羊肠,14.0,14.0,14.0,未知,斤
羊肚,17.0,17.0,17.0,未知,斤
羊鞭,88.0,89.0,90.0,未知,斤
羊宝,35.0,35.5,36.0,未知,斤
羊骨头,8.0,8.5,9.0,未知,斤
羊上脑,30.0,30.5,31.0,未知,斤
羊腩,23.0,24.0,25.0,未知,斤
羊里脊,28.0,28.5,29.0,未知,斤
淘汰鸡,10.0,10.5,11.0,未知,斤
淘汰鸡,8.8,9.4,10.0,未知,斤
仔鸡,6.3,6.65,7.0,未知,斤
肉鸡,6.5,6.65,6.8,未知,斤
鸡胸,6.0,6.5,7.0,未知,斤
鸡翅,11.0,11.0,11.0,未知,斤
鸡翅尖,7.5,7.5,7.5,未知,斤
鸡翅中,21.0,21.0,21.0,未知,斤
鸡翅根,7.0,7.0,7.0,未知,斤
鸡边腿,6.5,6.5,6.5,未知,斤
鸡排腿,7.0,7.0,7.0,未知,斤
鸡琵琶腿,7.0,7.0,7.0,未知,斤
鸡胗,11.0,12.5,14.0,未知,斤
